order_id,order_date,customer_id,region,product_name,category,quantity,unit_price,discount_rate,sales,profit,month
10001,2025-01-01,C1235,North,Printer Ink,Electronics,4,26.58,0.0,106.32,32.97,2025-01
10002,2025-01-01,C1050,East,Laptop Sleeve,Accessories,2,19.36,0.0,38.72,17.24,2025-01
10003,2025-01-01,C1264,West,Bluetooth Speaker,Electronics,4,41.5,0.1,149.4,46.68,2025-01
10004,2025-01-01,C1049,North,Laptop Sleeve,Accessories,3,18.96,0.0,56.88,24.81,2025-01
10005,2025-01-01,C1269,South,Notebook Pack,Stationery,3,8.6,0.0,25.8,12.31,2025-01
10006,2025-01-01,C1040,South,Printer Ink,Electronics,6,28.39,0.15,144.79,45.12,2025-01
10007,2025-01-01,C1062,North,Bluetooth Speaker,Electronics,1,44.45,0.0,44.45,13.64,2025-01
10008,2025-01-01,C1267,West,USB-C Cable,Accessories,3,11.73,0.0,35.19,14.11,2025-01
10009,2025-01-02,C1062,West,Printer Ink,Electronics,4,27.68,0.0,110.72,35.21,2025-01
10010,2025-01-02,C1012,South,Water Bottle,Lifestyle,3,15.25,0.0,45.75,22.47,2025-01
10011,2025-01-02,C1043,South,Laptop Sleeve,Accessories,3,18.38,0.05,52.38,21.96,2025-01
10012,2025-01-02,C1282,West,Office Chair,Furniture,2,117.24,0.1,211.03,79.65,2025-01
10013,2025-01-02,C1233,West,Office Chair,Furniture,2,120.21,0.0,240.42,90.92,2025-01
10014,2025-01-02,C1294,West,Bluetooth Speaker,Electronics,3,44.02,0.15,112.25,34.0,2025-01
10015,2025-01-02,C1223,South,Desk Lamp,Furniture,2,32.56,0.0,65.12,24.64,2025-01
10016,2025-01-02,C1202,North,Water Bottle,Lifestyle,2,16.17,0.0,32.34,14.83,2025-01
10017,2025-01-03,C1128,West,Printer Ink,Electronics,2,29.97,0.0,59.94,18.15,2025-01
10018,2025-01-03,C1111,West,Printer Ink,Electronics,2,28.88,0.0,57.76,18.13,2025-01
10019,2025-01-03,C1008,East,Notebook Pack,Stationery,2,8.51,0.1,15.32,7.16,2025-01
10020,2025-01-03,C1152,West,Wireless Mouse,Accessories,8,25.32,0.0,202.56,89.27,2025-01
10021,2025-01-03,C1134,North,Laptop Sleeve,Accessories,4,18.61,0.0,74.44,32.85,2025-01
10022,2025-01-03,C1263,South,Printer Ink,Electronics,4,28.4,0.15,96.56,29.93,2025-01
10023,2025-01-03,C1048,West,Notebook Pack,Stationery,4,8.28,0.0,33.12,18.17,2025-01
10024,2025-01-03,C1180,West,Laptop Sleeve,Accessories,2,19.1,0.0,38.2,15.28,2025-01
10025,2025-01-03,C1127,West,Notebook Pack,Stationery,1,7.75,0.0,7.75,3.73,2025-01
10026,2025-01-03,C1126,South,Bluetooth Speaker,Electronics,3,42.9,0.0,128.7,40.47,2025-01
10027,2025-01-03,C1012,West,Desk Lamp,Furniture,4,30.94,0.05,117.57,43.06,2025-01
10028,2025-01-03,C1142,North,Laptop Sleeve,Accessories,2,16.76,0.0,33.52,14.98,2025-01
10029,2025-01-03,C1057,North,Bluetooth Speaker,Electronics,2,44.75,0.0,89.5,28.07,2025-01
10030,2025-01-04,C1046,West,Desk Lamp,Furniture,2,29.88,0.0,59.76,21.65,2025-01
10031,2025-01-04,C1119,North,Printer Ink,Electronics,1,30.1,0.0,30.1,9.55,2025-01
10032,2025-01-04,C1128,South,Wireless Mouse,Accessories,1,23.1,0.15,19.64,7.17,2025-01
10033,2025-01-04,C1191,North,Wireless Mouse,Accessories,3,25.64,0.0,76.92,32.7,2025-01
10034,2025-01-05,C1221,North,Laptop Sleeve,Accessories,4,17.98,0.0,71.92,32.02,2025-01
10035,2025-01-05,C1003,North,Notebook Pack,Stationery,4,8.55,0.0,34.2,17.73,2025-01
10036,2025-01-05,C1064,West,Notebook Pack,Stationery,7,8.4,0.05,55.86,29.47,2025-01
10037,2025-01-05,C1034,West,Monitor Stand,Furniture,2,35.57,0.0,71.14,26.84,2025-01
10038,2025-01-05,C1113,East,Bluetooth Speaker,Electronics,3,43.28,0.0,129.84,40.16,2025-01
10039,2025-01-05,C1035,West,Notebook Pack,Stationery,4,8.32,0.05,31.62,15.41,2025-01
10040,2025-01-05,C1272,West,Bluetooth Speaker,Electronics,4,46.81,0.0,187.24,59.71,2025-01
10041,2025-01-06,C1052,East,Monitor Stand,Furniture,3,35.52,0.0,106.56,39.39,2025-01
10042,2025-01-06,C1132,West,USB-C Cable,Accessories,1,11.99,0.0,11.99,4.3,2025-01
10043,2025-01-06,C1193,East,Printer Ink,Electronics,7,26.76,0.0,187.32,58.16,2025-01
10044,2025-01-06,C1069,North,Laptop Sleeve,Accessories,4,19.29,0.15,65.59,28.01,2025-01
10045,2025-01-06,C1241,South,Printer Ink,Electronics,3,27.24,0.0,81.72,25.64,2025-01
10046,2025-01-06,C1189,North,Desk Lamp,Furniture,1,30.04,0.0,30.04,9.92,2025-01
10047,2025-01-06,C1172,South,Office Chair,Furniture,1,120.54,0.0,120.54,44.2,2025-01
10048,2025-01-06,C1232,North,Monitor Stand,Furniture,4,38.33,0.15,130.32,48.48,2025-01
10049,2025-01-07,C1144,North,Bluetooth Speaker,Electronics,3,43.31,0.0,129.93,41.06,2025-01
10050,2025-01-07,C1196,South,Wireless Mouse,Accessories,3,23.3,0.1,62.91,27.48,2025-01
10051,2025-01-07,C1223,South,Notebook Pack,Stationery,3,7.39,0.0,22.17,10.57,2025-01
10052,2025-01-07,C1005,South,Monitor Stand,Furniture,5,35.18,0.0,175.9,66.81,2025-01
10053,2025-01-07,C1172,East,Printer Ink,Electronics,6,26.84,0.0,161.04,51.03,2025-01
10054,2025-01-07,C1267,North,Notebook Pack,Stationery,4,8.22,0.0,32.88,16.54,2025-01
10055,2025-01-07,C1206,West,USB-C Cable,Accessories,1,12.56,0.0,12.56,4.69,2025-01
10056,2025-01-07,C1029,East,USB-C Cable,Accessories,7,11.21,0.0,78.47,34.22,2025-01
10057,2025-01-07,C1033,West,Notebook Pack,Stationery,3,7.99,0.0,23.97,12.27,2025-01
10058,2025-01-07,C1094,South,Notebook Pack,Stationery,2,7.8,0.0,15.6,7.66,2025-01
10059,2025-01-08,C1046,East,Laptop Sleeve,Accessories,4,17.51,0.0,70.04,31.33,2025-01
10060,2025-01-08,C1252,North,Notebook Pack,Stationery,3,7.71,0.05,21.97,10.59,2025-01
10061,2025-01-08,C1006,East,Monitor Stand,Furniture,4,39.34,0.0,157.36,59.5,2025-01
10062,2025-01-08,C1191,West,Printer Ink,Electronics,2,29.65,0.0,59.3,18.18,2025-01
10063,2025-01-08,C1024,South,Wireless Mouse,Accessories,1,24.29,0.0,24.29,10.28,2025-01
10064,2025-01-08,C1235,East,Water Bottle,Lifestyle,4,15.09,0.0,60.36,28.69,2025-01
10065,2025-01-08,C1288,South,Laptop Sleeve,Accessories,3,17.59,0.15,44.85,18.97,2025-01
10066,2025-01-08,C1242,North,Laptop Sleeve,Accessories,4,18.88,0.0,75.52,32.3,2025-01
10067,2025-01-08,C1061,East,Laptop Sleeve,Accessories,5,19.37,0.0,96.85,42.14,2025-01
10068,2025-01-08,C1224,East,Monitor Stand,Furniture,3,36.1,0.0,108.3,40.3,2025-01
10069,2025-01-08,C1258,East,Printer Ink,Electronics,3,28.03,0.1,75.68,23.58,2025-01
10070,2025-01-08,C1129,South,Laptop Sleeve,Accessories,1,16.74,0.15,14.23,5.76,2025-01
10071,2025-01-09,C1136,South,Laptop Sleeve,Accessories,3,19.01,0.0,57.03,24.85,2025-01
10072,2025-01-09,C1285,South,Wireless Mouse,Accessories,3,26.13,0.05,74.47,32.01,2025-01
10073,2025-01-10,C1066,South,Notebook Pack,Stationery,3,7.65,0.0,22.95,11.76,2025-01
10074,2025-01-10,C1156,South,Notebook Pack,Stationery,2,8.15,0.0,16.3,7.18,2025-01
10075,2025-01-10,C1117,South,Wireless Mouse,Accessories,3,25.28,0.0,75.84,32.37,2025-01
10076,2025-01-10,C1046,North,USB-C Cable,Accessories,2,11.8,0.0,23.6,10.32,2025-01
10077,2025-01-10,C1282,West,Office Chair,Furniture,1,121.89,0.0,121.89,44.89,2025-01
10078,2025-01-10,C1209,North,Bluetooth Speaker,Electronics,4,48.22,0.0,192.88,60.55,2025-01
10079,2025-01-10,C1028,North,Notebook Pack,Stationery,7,8.1,0.0,56.7,30.34,2025-01
10080,2025-01-10,C1000,West,Laptop Sleeve,Accessories,2,17.24,0.0,34.48,15.14,2025-01
10081,2025-01-10,C1290,East,Water Bottle,Lifestyle,3,14.6,0.05,41.61,20.8,2025-01
10082,2025-01-10,C1250,East,Office Chair,Furniture,3,124.56,0.0,373.68,141.55,2025-01
10083,2025-01-10,C1048,North,Laptop Sleeve,Accessories,4,18.23,0.0,72.92,32.79,2025-01
10084,2025-01-10,C1256,West,Wireless Mouse,Accessories,2,23.34,0.15,39.68,16.85,2025-01
10085,2025-01-10,C1143,South,Bluetooth Speaker,Electronics,3,44.77,0.0,134.31,42.22,2025-01
10086,2025-01-11,C1287,West,Wireless Mouse,Accessories,3,25.58,0.0,76.74,34.48,2025-01
10087,2025-01-11,C1053,East,Printer Ink,Electronics,1,26.75,0.0,26.75,7.22,2025-01
10088,2025-01-11,C1006,East,Bluetooth Speaker,Electronics,8,48.2,0.0,385.6,122.58,2025-01
10089,2025-01-11,C1196,West,Notebook Pack,Stationery,2,8.48,0.0,16.96,7.92,2025-01
10090,2025-01-11,C1225,North,Bluetooth Speaker,Electronics,3,45.89,0.0,137.67,42.95,2025-01
10091,2025-01-11,C1223,North,Water Bottle,Lifestyle,3,15.16,0.15,38.66,18.39,2025-01
10092,2025-01-11,C1003,North,Office Chair,Furniture,3,115.35,0.0,346.05,129.83,2025-01
10093,2025-01-11,C1075,West,Laptop Sleeve,Accessories,6,16.75,0.0,100.5,44.23,2025-01
10094,2025-01-12,C1180,North,Notebook Pack,Stationery,4,7.42,0.0,29.68,14.85,2025-01
10095,2025-01-12,C1226,North,Notebook Pack,Stationery,2,7.82,0.0,15.64,8.01,2025-01
10096,2025-01-12,C1226,South,Monitor Stand,Furniture,2,37.9,0.0,75.8,27.72,2025-01
10097,2025-01-12,C1128,West,USB-C Cable,Accessories,3,11.95,0.0,35.85,15.43,2025-01
10098,2025-01-12,C1101,East,Desk Lamp,Furniture,2,33.63,0.0,67.26,24.17,2025-01
10099,2025-01-12,C1011,South,Notebook Pack,Stationery,1,8.53,0.0,8.53,2.79,2025-01
10100,2025-01-13,C1136,West,Printer Ink,Electronics,2,29.86,0.0,59.72,17.72,2025-01
10101,2025-01-13,C1013,North,Wireless Mouse,Accessories,4,24.82,0.0,99.28,43.39,2025-01
10102,2025-01-13,C1182,North,Notebook Pack,Stationery,1,7.46,0.0,7.46,3.42,2025-01
10103,2025-01-13,C1226,East,Office Chair,Furniture,5,118.59,0.05,563.3,213.22,2025-01
10104,2025-01-13,C1184,North,Water Bottle,Lifestyle,6,15.64,0.0,93.84,45.96,2025-01
10105,2025-01-13,C1176,North,Notebook Pack,Stationery,2,7.79,0.0,15.58,7.1,2025-01
10106,2025-01-13,C1072,South,Laptop Sleeve,Accessories,2,17.23,0.0,34.46,15.47,2025-01
10107,2025-01-13,C1197,South,Laptop Sleeve,Accessories,1,19.31,0.0,19.31,8.17,2025-01
